id,title,image,created_at,updated_at
5,He is wizard,DSC_0160.JPG,2017-04-27 09:31:11.192029,2017-04-27 09:31:11.192029
6,Iurii Dron and his inventions,DSC_0182.JPG,2017-04-27 10:15:54.249399,2017-05-14 09:48:06.179726
7,UBB with 3 brood chambers (each has 10 deep Dadant frames (hight 30 cm)) and 3 level of honey supers with the same frames (totaly 122 deep Dadant type frames),DSC_0140.JPG,2017-04-27 10:29:11.159308,2017-05-14 09:48:20.397959
9,UBB with 4 brood chambers (each has 8 deep Langstroth frames) and 2 honey supers with 17 the same frames (totaly 66 deep Langstroth frames),DSC_0141.JPG,2017-04-27 10:30:46.970519,2017-05-14 10:06:45.301850
10,UBB in summer,DSCN2096.JPG,2017-04-27 10:32:34.409833,2017-05-14 09:17:37.479140
15,UBB in winter,DSCN2176.JPG,2017-05-12 18:49:22.396152,2017-05-14 09:20:50.161285
16,"In winter, UBB inside",фото2.jpg,2017-05-12 18:50:18.042044,2017-05-14 09:26:16.850265
17,"Bee nest is installed on two thin slats for good ventilation, moisture remove and noise protections",DSCN2186.JPG,2017-05-12 18:56:18.189346,2017-05-14 09:47:35.563247
18,Insulation cloth with reflective surface for keep heat and protection from fluctuations of the magnetic field,DSCN2211.JPG,2017-05-12 18:57:27.911323,2017-05-14 09:49:01.926346
19,The bottom with regulating opening for vent,DSCN2208.JPG,2017-05-12 18:59:45.516433,2017-05-14 09:42:22.269306
20,Scheme for installing a protective mesh above the adjustable bottom opening,Фото13.jpg,2017-05-12 19:00:50.715628,2017-05-14 09:46:58.010909
21,Unique  ventilation system with heat recovery,Фото14.JPG,2017-05-12 19:01:52.938210,2017-05-14 09:52:58.163995
22,Infrared image of UBB in winter,Фото6.jpg,2017-05-12 19:03:29.355362,2017-05-14 09:54:47.497434
23,Scheme of extraction of the brood chamber,Літо-огляд-нове.jpg,2017-05-12 19:05:17.376903,2017-05-14 09:57:12.881975
24,The lifting common supers and setting the thin bar,Фото18.jpg,2017-05-12 19:05:39.320347,2017-05-14 10:01:41.612161
25,The removing a brood chambers,Фото19.jpg,2017-05-12 19:06:16.650018,2017-05-14 10:03:20.627357
